"municipality","votes","parties","file","prefecture"
"智頭町",163,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"智頭町",463,"公明党","中国選挙区.xlsx","鳥取県"
"智頭町",2094,"自由民主党","中国選挙区.xlsx","鳥取県"
"智頭町",3500.999,"得票数計","中国選挙区.xlsx","鳥取県"
"八頭町",239,"日本共産党","中国選挙区.xlsx","鳥取県"
"八頭町",407.986,"国民民主党","中国選挙区.xlsx","鳥取県"
"八頭町",842.013,"立憲民主党","中国選挙区.xlsx","鳥取県"
"八頭町",87,"社会民主党","中国選挙区.xlsx","鳥取県"
"八頭町",176,"参政党","中国選挙区.xlsx","鳥取県"
"八頭町",199,"日本維新の会","中国選挙区.xlsx","鳥取県"
"八頭町",366,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"八頭町",1432,"公明党","中国選挙区.xlsx","鳥取県"
"八頭町",4998,"自由民主党","中国選挙区.xlsx","鳥取県"
"八頭町",8746.999,"得票数計","中国選挙区.xlsx","鳥取県"
"三朝町",105,"日本共産党","中国選挙区.xlsx","鳥取県"
"三朝町",132.432,"国民民主党","中国選挙区.xlsx","鳥取県"
"三朝町",394.567,"立憲民主党","中国選挙区.xlsx","鳥取県"
"三朝町",51,"社会民主党","中国選挙区.xlsx","鳥取県"
"三朝町",83,"参政党","中国選挙区.xlsx","鳥取県"
"三朝町",74,"日本維新の会","中国選挙区.xlsx","鳥取県"
"三朝町",147,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"三朝町",504,"公明党","中国選挙区.xlsx","鳥取県"
"三朝町",1942,"自由民主党","中国選挙区.xlsx","鳥取県"
"三朝町",3432.999,"得票数計","中国選挙区.xlsx","鳥取県"
"湯梨浜町",287,"日本共産党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",448.414,"国民民主党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",1171.585,"立憲民主党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",75,"社会民主党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",189,"参政党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",202,"日本維新の会","中国選挙区.xlsx","鳥取県"
"湯梨浜町",396,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"湯梨浜町",1158,"公明党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",4251,"自由民主党","中国選挙区.xlsx","鳥取県"
"湯梨浜町",8177.999,"得票数計","中国選挙区.xlsx","鳥取県"
"琴浦町",234,"日本共産党","中国選挙区.xlsx","鳥取県"
"琴浦町",450.672,"国民民主党","中国選挙区.xlsx","鳥取県"
"琴浦町",1636.327,"立憲民主党","中国選挙区.xlsx","鳥取県"
"琴浦町",122,"社会民主党","中国選挙区.xlsx","鳥取県"
"琴浦町",194,"参政党","中国選挙区.xlsx","鳥取県"
"琴浦町",188,"日本維新の会","中国選挙区.xlsx","鳥取県"
"琴浦町",396,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"琴浦町",959,"公明党","中国選挙区.xlsx","鳥取県"
"琴浦町",4427,"自由民主党","中国選挙区.xlsx","鳥取県"
"琴浦町",8606.999,"得票数計","中国選挙区.xlsx","鳥取県"
"北栄町",183,"日本共産党","中国選挙区.xlsx","鳥取県"
"北栄町",398.132,"国民民主党","中国選挙区.xlsx","鳥取県"
"北栄町",1369.867,"立憲民主党","中国選挙区.xlsx","鳥取県"
"北栄町",90,"社会民主党","中国選挙区.xlsx","鳥取県"
"北栄町",196,"参政党","中国選挙区.xlsx","鳥取県"
"北栄町",155,"日本維新の会","中国選挙区.xlsx","鳥取県"
"北栄町",319,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"北栄町",1226,"公明党","中国選挙区.xlsx","鳥取県"
"北栄町",3774,"自由民主党","中国選挙区.xlsx","鳥取県"
"北栄町",7710.999,"得票数計","中国選挙区.xlsx","鳥取県"
"日吉津村",98,"日本共産党","中国選挙区.xlsx","鳥取県"
"日吉津村",155.867,"国民民主党","中国選挙区.xlsx","鳥取県"
"日吉津村",455.132,"立憲民主党","中国選挙区.xlsx","鳥取県"
"日吉津村",12,"社会民主党","中国選挙区.xlsx","鳥取県"
"日吉津村",39,"参政党","中国選挙区.xlsx","鳥取県"
"日吉津村",66,"日本維新の会","中国選挙区.xlsx","鳥取県"
"日吉津村",116,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"日吉津村",219,"公明党","中国選挙区.xlsx","鳥取県"
"日吉津村",802,"自由民主党","中国選挙区.xlsx","鳥取県"
"日吉津村",1962.999,"得票数計","中国選挙区.xlsx","鳥取県"
"大山町",319,"日本共産党","中国選挙区.xlsx","鳥取県"
"大山町",438.016,"国民民主党","中国選挙区.xlsx","鳥取県"
"大山町",1731.983,"立憲民主党","中国選挙区.xlsx","鳥取県"
"大山町",109,"社会民主党","中国選挙区.xlsx","鳥取県"
"大山町",166,"参政党","中国選挙区.xlsx","鳥取県"
"大山町",198,"日本維新の会","中国選挙区.xlsx","鳥取県"
"大山町",388,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"大山町",925,"公明党","中国選挙区.xlsx","鳥取県"
"大山町",3813,"自由民主党","中国選挙区.xlsx","鳥取県"
"大山町",8087.999,"得票数計","中国選挙区.xlsx","鳥取県"
"南部町",316,"日本共産党","中国選挙区.xlsx","鳥取県"
"南部町",269.981,"国民民主党","中国選挙区.xlsx","鳥取県"
"南部町",1231.018,"立憲民主党","中国選挙区.xlsx","鳥取県"
"南部町",58,"社会民主党","中国選挙区.xlsx","鳥取県"
"南部町",110,"参政党","中国選挙区.xlsx","鳥取県"
"南部町",116,"日本維新の会","中国選挙区.xlsx","鳥取県"
"南部町",238,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"南部町",630,"公明党","中国選挙区.xlsx","鳥取県"
"南部町",2316,"自由民主党","中国選挙区.xlsx","鳥取県"
"南部町",5284.999,"得票数計","中国選挙区.xlsx","鳥取県"
"伯耆町",246,"日本共産党","中国選挙区.xlsx","鳥取県"
"伯耆町",308.341,"国民民主党","中国選挙区.xlsx","鳥取県"
"伯耆町",1249.658,"立憲民主党","中国選挙区.xlsx","鳥取県"
"伯耆町",65,"社会民主党","中国選挙区.xlsx","鳥取県"
"伯耆町",109,"参政党","中国選挙区.xlsx","鳥取県"
"伯耆町",135,"日本維新の会","中国選挙区.xlsx","鳥取県"
"伯耆町",249,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"伯耆町",705,"公明党","中国選挙区.xlsx","鳥取県"
"伯耆町",2431,"自由民主党","中国選挙区.xlsx","鳥取県"
"伯耆町",5497.999,"得票数計","中国選挙区.xlsx","鳥取県"
"日南町",123,"日本共産党","中国選挙区.xlsx","鳥取県"
"日南町",102.192,"国民民主党","中国選挙区.xlsx","鳥取県"
"日南町",468.807,"立憲民主党","中国選挙区.xlsx","鳥取県"
"日南町",37,"社会民主党","中国選挙区.xlsx","鳥取県"
"日南町",40,"参政党","中国選挙区.xlsx","鳥取県"
"日南町",58,"日本維新の会","中国選挙区.xlsx","鳥取県"
"日南町",71,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"日南町",265,"公明党","中国選挙区.xlsx","鳥取県"
"日南町",1309,"自由民主党","中国選挙区.xlsx","鳥取県"
"日南町",2473.999,"得票数計","中国選挙区.xlsx","鳥取県"
"日野町",59,"日本共産党","中国選挙区.xlsx","鳥取県"
"日野町",43.816,"国民民主党","中国選挙区.xlsx","鳥取県"
"日野町",375.183,"立憲民主党","中国選挙区.xlsx","鳥取県"
"日野町",27,"社会民主党","中国選挙区.xlsx","鳥取県"
"日野町",28,"参政党","中国選挙区.xlsx","鳥取県"
"日野町",29,"日本維新の会","中国選挙区.xlsx","鳥取県"
"日野町",54,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"日野町",200,"公明党","中国選挙区.xlsx","鳥取県"
"日野町",858,"自由民主党","中国選挙区.xlsx","鳥取県"
"日野町",1673.999,"得票数計","中国選挙区.xlsx","鳥取県"
"江府町",43,"日本共産党","中国選挙区.xlsx","鳥取県"
"江府町",67.006,"国民民主党","中国選挙区.xlsx","鳥取県"
"江府町",279.993,"立憲民主党","中国選挙区.xlsx","鳥取県"
"江府町",18,"社会民主党","中国選挙区.xlsx","鳥取県"
"江府町",36,"参政党","中国選挙区.xlsx","鳥取県"
"江府町",36,"日本維新の会","中国選挙区.xlsx","鳥取県"
"江府町",55,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"江府町",226,"公明党","中国選挙区.xlsx","鳥取県"
"江府町",787,"自由民主党","中国選挙区.xlsx","鳥取県"
"江府町",1547.999,"得票数計","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",10826,"日本共産党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",16647.568000000003,"国民民主党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",40988.413,"立憲民主党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",3112,"社会民主党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",6239,"参政党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",7827,"日本維新の会","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",12787,"れいわ新選組","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",33259,"公明党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",123578,"自由民主党","中国選挙区.xlsx","鳥取県"
"鳥取県 合計",255263.98100000017,"得票数計","中国選挙区.xlsx","鳥取県"
"松江市",4753,"日本共産党","中国選挙区.xlsx","島根県"
"松江市",8367.431,"国民民主党","中国選挙区.xlsx","島根県"
"松江市",20811.568,"立憲民主党","中国選挙区.xlsx","島根県"
"松江市",1409,"社会民主党","中国選挙区.xlsx","島根県"
"松江市",2203,"参政党","中国選挙区.xlsx","島根県"
"松江市",3274,"日本維新の会","中国選挙区.xlsx","島根県"
"松江市",4690,"れいわ新選組","中国選挙区.xlsx","島根県"
"松江市",9008,"公明党","中国選挙区.xlsx","島根県"
"松江市",33496,"自由民主党","中国選挙区.xlsx","島根県"
"松江市",88011.99899999998,"得票数計","中国選挙区.xlsx","島根県"
"浜田市",922,"日本共産党","中国選挙区.xlsx","島根県"
"浜田市",1720.782,"国民民主党","中国選挙区.xlsx","島根県"
"浜田市",4936.217,"立憲民主党","中国選挙区.xlsx","島根県"
"浜田市",594,"社会民主党","中国選挙区.xlsx","島根県"
"浜田市",475,"参政党","中国選挙区.xlsx","島根県"
"浜田市",898,"日本維新の会","中国選挙区.xlsx","島根県"
"浜田市",1323,"れいわ新選組","中国選挙区.xlsx","島根県"
"浜田市",2138,"公明党","中国選挙区.xlsx","島根県"
"浜田市",10488,"自由民主党","中国選挙区.xlsx","島根県"
"浜田市",23494.999,"得票数計","中国選挙区.xlsx","島根県"
"出雲市",4228,"日本共産党","中国選挙区.xlsx","島根県"
"出雲市",6687.983,"国民民主党","中国選挙区.xlsx","島根県"
"出雲市",16125.016,"立憲民主党","中国選挙区.xlsx","島根県"
"出雲市",1235,"社会民主党","中国選挙区.xlsx","島根県"
"出雲市",1828,"参政党","中国選挙区.xlsx","島根県"
"出雲市",3077,"日本維新の会","中国選挙区.xlsx","島根県"
"出雲市",4458,"れいわ新選組","中国選挙区.xlsx","島根県"
"出雲市",7654,"公明党","中国選挙区.xlsx","島根県"
"出雲市",32652,"自由民主党","中国選挙区.xlsx","島根県"
"出雲市",77944.99899999998,"得票数計","中国選挙区.xlsx","島根県"
"益田市",1012,"日本共産党","中国選挙区.xlsx","島根県"
"益田市",1365.432,"国民民主党","中国選挙区.xlsx","島根県"
"益田市",4357.567,"立憲民主党","中国選挙区.xlsx","島根県"
"益田市",515,"社会民主党","中国選挙区.xlsx","島根県"
"益田市",442,"参政党","中国選挙区.xlsx","島根県"
"益田市",766,"日本維新の会","中国選挙区.xlsx","島根県"
"益田市",995,"れいわ新選組","中国選挙区.xlsx","島根県"
"益田市",1957,"公明党","中国選挙区.xlsx","島根県"
"益田市",8485,"自由民主党","中国選挙区.xlsx","島根県"
"益田市",19894.999,"得票数計","中国選挙区.xlsx","島根県"
"大田市",1042,"日本共産党","中国選挙区.xlsx","島根県"
"大田市",890.879,"国民民主党","中国選挙区.xlsx","島根県"
"大田市",2978.12,"立憲民主党","中国選挙区.xlsx","島根県"
"大田市",470,"社会民主党","中国選挙区.xlsx","島根県"
"大田市",336,"参政党","中国選挙区.xlsx","島根県"
"大田市",555,"日本維新の会","中国選挙区.xlsx","島根県"
"大田市",780,"れいわ新選組","中国選挙区.xlsx","島根県"
"大田市",1574,"公明党","中国選挙区.xlsx","島根県"
"大田市",6545,"自由民主党","中国選挙区.xlsx","島根県"
"大田市",15170.999,"得票数計","中国選挙区.xlsx","島根県"
"安来市",734,"日本共産党","中国選挙区.xlsx","島根県"
"安来市",1196.965,"国民民主党","中国選挙区.xlsx","島根県"
"安来市",4184.034,"立憲民主党","中国選挙区.xlsx","島根県"
"安来市",299,"社会民主党","中国選挙区.xlsx","島根県"
"安来市",426,"参政党","中国選挙区.xlsx","島根県"
"安来市",494,"日本維新の会","中国選挙区.xlsx","島根県"
"安来市",859,"れいわ新選組","中国選挙区.xlsx","島根県"
"安来市",1732,"公明党","中国選挙区.xlsx","島根県"
"安来市",7470,"自由民主党","中国選挙区.xlsx","島根県"
"安来市",17394.999,"得票数計","中国選挙区.xlsx","島根県"
"江津市",658,"日本共産党","中国選挙区.xlsx","島根県"
"江津市",650.597,"国民民主党","中国選挙区.xlsx","島根県"
"江津市",2379.402,"立憲民主党","中国選挙区.xlsx","島根県"
"江津市",231,"社会民主党","中国選挙区.xlsx","島根県"
"江津市",275,"参政党","中国選挙区.xlsx","島根県"
"江津市",334,"日本維新の会","中国選挙区.xlsx","島根県"
"江津市",501,"れいわ新選組","中国選挙区.xlsx","島根県"
"江津市",1060,"公明党","中国選挙区.xlsx","島根県"
"江津市",4665,"自由民主党","中国選挙区.xlsx","島根県"
"江津市",10753.999,"得票数計","中国選挙区.xlsx","島根県"
"雲南市",736,"日本共産党","中国選挙区.xlsx","島根県"
"雲南市",1079.452,"国民民主党","中国選挙区.xlsx","島根県"
"雲南市",4833.547,"立憲民主党","中国選挙区.xlsx","島根県"
"雲南市",512,"社会民主党","中国選挙区.xlsx","島根県"
"雲南市",349,"参政党","中国選挙区.xlsx","島根県"
"雲南市",548,"日本維新の会","中国選挙区.xlsx","島根県"
"雲南市",846,"れいわ新選組","中国選挙区.xlsx","島根県"
"雲南市",1812,"公明党","中国選挙区.xlsx","島根県"
"雲南市",8702,"自由民主党","中国選挙区.xlsx","島根県"
"雲南市",19417.999,"得票数計","中国選挙区.xlsx","島根県"
"奥出雲町",224,"日本共産党","中国選挙区.xlsx","島根県"
"奥出雲町",259.625,"国民民主党","中国選挙区.xlsx","島根県"
"奥出雲町",1279.374,"立憲民主党","中国選挙区.xlsx","島根県"
"奥出雲町",100,"社会民主党","中国選挙区.xlsx","島根県"
"奥出雲町",87,"参政党","中国選挙区.xlsx","島根県"
"奥出雲町",149,"日本維新の会","中国選挙区.xlsx","島根県"
"奥出雲町",216,"れいわ新選組","中国選挙区.xlsx","島根県"
"奥出雲町",1158,"公明党","中国選挙区.xlsx","島根県"
"奥出雲町",2731,"自由民主党","中国選挙区.xlsx","島根県"
"奥出雲町",6203.999,"得票数計","中国選挙区.xlsx","島根県"
"飯南町",135,"日本共産党","中国選挙区.xlsx","島根県"
"飯南町",133.82,"国民民主党","中国選挙区.xlsx","島根県"
"飯南町",598.179,"立憲民主党","中国選挙区.xlsx","島根県"
"飯南町",70,"社会民主党","中国選挙区.xlsx","島根県"
"飯南町",39,"参政党","中国選挙区.xlsx","島根県"
"飯南町",63,"日本維新の会","中国選挙区.xlsx","島根県"
"飯南町",133,"れいわ新選組","中国選挙区.xlsx","島根県"
"飯南町",193,"公明党","中国選挙区.xlsx","島根県"
"飯南町",1377,"自由民主党","中国選挙区.xlsx","島根県"
"飯南町",2741.999,"得票数計","中国選挙区.xlsx","島根県"
"川本町",62,"日本共産党","中国選挙区.xlsx","島根県"
"川本町",80.47,"国民民主党","中国選挙区.xlsx","島根県"
"川本町",365.529,"立憲民主党","中国選挙区.xlsx","島根県"
"川本町",33,"社会民主党","中国選挙区.xlsx","島根県"
"川本町",42,"参政党","中国選挙区.xlsx","島根県"
"川本町",42,"日本維新の会","中国選挙区.xlsx","島根県"
"川本町",79,"れいわ新選組","中国選挙区.xlsx","島根県"
"川本町",207,"公明党","中国選挙区.xlsx","島根県"
"川本町",891,"自由民主党","中国選挙区.xlsx","島根県"
"川本町",1801.999,"得票数計","中国選挙区.xlsx","島根県"
"美郷町",116,"日本共産党","中国選挙区.xlsx","島根県"
"美郷町",103.71,"国民民主党","中国選挙区.xlsx","島根県"
"美郷町",471.289,"立憲民主党","中国選挙区.xlsx","島根県"
"美郷町",61,"社会民主党","中国選挙区.xlsx","島根県"
"美郷町",48,"参政党","中国選挙区.xlsx","島根県"
"美郷町",62,"日本維新の会","中国選挙区.xlsx","島根県"
"美郷町",122,"れいわ新選組","中国選挙区.xlsx","島根県"
"美郷町",329,"公明党","中国選挙区.xlsx","島根県"
"美郷町",1093,"自由民主党","中国選挙区.xlsx","島根県"
"美郷町",2405.999,"得票数計","中国選挙区.xlsx","島根県"
"邑南町",331,"日本共産党","中国選挙区.xlsx","島根県"
"邑南町",289.733,"国民民主党","中国選挙区.xlsx","島根県"
"邑南町",1001.266,"立憲民主党","中国選挙区.xlsx","島根県"
"邑南町",140,"社会民主党","中国選挙区.xlsx","島根県"
"邑南町",99,"参政党","中国選挙区.xlsx","島根県"
"邑南町",158,"日本維新の会","中国選挙区.xlsx","島根県"
"邑南町",256,"れいわ新選組","中国選挙区.xlsx","島根県"
"邑南町",721,"公明党","中国選挙区.xlsx","島根県"
"邑南町",2598,"自由民主党","中国選挙区.xlsx","島根県"
"邑南町",5593.999,"得票数計","中国選挙区.xlsx","島根県"
"津和野町",224,"日本共産党","中国選挙区.xlsx","島根県"
"津和野町",225.344,"国民民主党","中国選挙区.xlsx","島根県"
"津和野町",1024.655,"立憲民主党","中国選挙区.xlsx","島根県"
"津和野町",98,"社会民主党","中国選挙区.xlsx","島根県"
"津和野町",59,"参政党","中国選挙区.xlsx","島根県"
"津和野町",138,"日本維新の会","中国選挙区.xlsx","島根県"
"津和野町",190,"れいわ新選組","中国選挙区.xlsx","島根県"
"津和野町",404,"公明党","中国選挙区.xlsx","島根県"
"津和野町",1588,"自由民主党","中国選挙区.xlsx","島根県"
"津和野町",3950.999,"得票数計","中国選挙区.xlsx","島根県"
"吉賀町",182,"日本共産党","中国選挙区.xlsx","島根県"
"吉賀町",170.192,"国民民主党","中国選挙区.xlsx","島根県"
"吉賀町",621.807,"立憲民主党","中国選挙区.xlsx","島根県"
"吉賀町",103,"社会民主党","中国選挙区.xlsx","島根県"
"吉賀町",53,"参政党","中国選挙区.xlsx","島根県"
"吉賀町",102,"日本維新の会","中国選挙区.xlsx","島根県"
"吉賀町",172,"れいわ新選組","中国選挙区.xlsx","島根県"
"吉賀町",449,"公明党","中国選挙区.xlsx","島根県"
"吉賀町",1185,"自由民主党","中国選挙区.xlsx","島根県"
"吉賀町",3037.999,"得票数計","中国選挙区.xlsx","島根県"
"海士町",42,"日本共産党","中国選挙区.xlsx","島根県"
"海士町",96.917,"国民民主党","中国選挙区.xlsx","島根県"
"海士町",254.082,"立憲民主党","中国選挙区.xlsx","島根県"
"海士町",22,"社会民主党","中国選挙区.xlsx","島根県"
"海士町",39,"参政党","中国選挙区.xlsx","島根県"
"海士町",39,"日本維新の会","中国選挙区.xlsx","島根県"
"海士町",51,"れいわ新選組","中国選挙区.xlsx","島根県"
"海士町",270,"公明党","中国選挙区.xlsx","島根県"
"海士町",607,"自由民主党","中国選挙区.xlsx","島根県"
"海士町",1420.999,"得票数計","中国選挙区.xlsx","島根県"
"西ノ島町",42,"日本共産党","中国選挙区.xlsx","島根県"
"西ノ島町",96.755,"国民民主党","中国選挙区.xlsx","島根県"
"西ノ島町",334.244,"立憲民主党","中国選挙区.xlsx","島根県"
"西ノ島町",19,"社会民主党","中国選挙区.xlsx","島根県"
"西ノ島町",23,"参政党","中国選挙区.xlsx","島根県"
"西ノ島町",40,"日本維新の会","中国選挙区.xlsx","島根県"
"西ノ島町",73,"れいわ新選組","中国選挙区.xlsx","島根県"
"西ノ島町",139,"公明党","中国選挙区.xlsx","島根県"
"西ノ島町",658,"自由民主党","中国選挙区.xlsx","島根県"
"西ノ島町",1424.999,"得票数計","中国選挙区.xlsx","島根県"
"知夫村",12,"日本共産党","中国選挙区.xlsx","島根県"
"知夫村",23.367,"国民民主党","中国選挙区.xlsx","島根県"
"知夫村",83.632,"立憲民主党","中国選挙区.xlsx","島根県"
"知夫村",7,"社会民主党","中国選挙区.xlsx","島根県"
"知夫村",7,"参政党","中国選挙区.xlsx","島根県"
"知夫村",14,"日本維新の会","中国選挙区.xlsx","島根県"
"知夫村",21,"れいわ新選組","中国選挙区.xlsx","島根県"
"知夫村",26,"公明党","中国選挙区.xlsx","島根県"
"知夫村",212,"自由民主党","中国選挙区.xlsx","島根県"
"知夫村",405.999,"得票数計","中国選挙区.xlsx","島根県"
"隠岐の島町",202,"日本共産党","中国選挙区.xlsx","島根県"
"隠岐の島町",296.801,"国民民主党","中国選挙区.xlsx","島根県"
"隠岐の島町",1343.198,"立憲民主党","中国選挙区.xlsx","島根県"
"隠岐の島町",97,"社会民主党","中国選挙区.xlsx","島根県"
"隠岐の島町",124,"参政党","中国選挙区.xlsx","島根県"
"隠岐の島町",174,"日本維新の会","中国選挙区.xlsx","島根県"
"隠岐の島町",283,"れいわ新選組","中国選挙区.xlsx","島根県"
"隠岐の島町",680,"公明党","中国選挙区.xlsx","島根県"
"隠岐の島町",3032,"自由民主党","中国選挙区.xlsx","島根県"
"隠岐の島町",6231.999,"得票数計","中国選挙区.xlsx","島根県"
"島根県 合計",15657,"日本共産党","中国選挙区.xlsx","島根県"
"島根県 合計",23736.255000000005,"国民民主党","中国選挙区.xlsx","島根県"
"島根県 合計",67982.72600000001,"立憲民主党","中国選挙区.xlsx","島根県"
"島根県 合計",6015,"社会民主党","中国選挙区.xlsx","島根県"
"島根県 合計",6954,"参政党","中国選挙区.xlsx","島根県"
"島根県 合計",10927,"日本維新の会","中国選挙区.xlsx","島根県"
"島根県 合計",16048,"れいわ新選組","中国選挙区.xlsx","島根県"
"島根県 合計",31511,"公明党","中国選挙区.xlsx","島根県"
"島根県 合計",128475,"自由民主党","中国選挙区.xlsx","島根県"
"島根県 合計",307305.98100000015,"得票数計","中国選挙区.xlsx","島根県"
"岡山市北区",6590,"日本共産党","中国選挙区.xlsx","岡山県"
"岡山市北区",15879.906,"国民民主党","中国選挙区.xlsx","岡山県"
"岡山市北区",24880.093,"立憲民主党","中国選挙区.xlsx","岡山県"
"岡山市北区",1374,"社会民主党","中国選挙区.xlsx","岡山県"
"岡山市北区",4108,"参政党","中国選挙区.xlsx","岡山県"
"岡山市北区",9894,"日本維新の会","中国選挙区.xlsx","岡山県"
"岡山市北区",7197,"れいわ新選組","中国選挙区.xlsx","岡山県"
"岡山市北区",12197,"公明党","中国選挙区.xlsx","岡山県"
